company,parent_company,penalty_amount,subtraction_from_penalty,penalty_amount_adjusted,penalty_year,penalty_date,primary_offense,secondary_offense,description,level_of_government,action_type,agency,court,civil_criminal,info_source,prosecution_agr,case_id,private_litigation,lawsuit_resolution,facility_state,city,address,zip,naics_code,naics_translation,hq_country_of_parent,code3,hq_state_of_parent,ownership_structure,parent_company_stock_ticker,major_industry_of_parent,specific_industry_of_parent,info_source_archive_url,pacer_link,captured_document,epa_osha_more,notes,,,
,,3700000.0,,,,non-compliance with directions issued by RBI on ‘Frauds – Classification and Reporting’ and ,January 22, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apna Sahakari Bank,,1400000.0,,,,non-compliance with directions issued by RBI on Income Recognition and Asset Classification (IRAC) ,January 22, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100000.0,,,,non-compliance with directions issued by RBI on director related loans.  The penalty ,January 22, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Bank Limited,,10000000.0,,,,non-compliance with Master Direction on Know Your Customer dated February 25, 2016 (updated ,January 29, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dombivli Nagari Sahakari Bank,,5000000.0,,,,non-compliance with directions issued by RBI on Income Recognition and Asset Classification (IRAC) ,January 29, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets Finance,,,,,,non-compliance with directions issued by RBI on ‘Monitoring of Frauds in NBFCs (Reserve ,January 31, 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,non-compliance with the directions on cyber security framework in banks issued by RBI. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,non-compliance of regulatory guidelines.   Sr. No. Name of the PPI Issuer ,Amount of Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,non-compliance with certain provisions of directions issued by RBI on “Code of Conduct ,July 31, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporation Bank,,10000000,,,,non-compliance with the directions issued by RBI on (i) Cyber Security Framework in ,July 31, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarna Bharathi Sahakara Bank Niyamitha,,1000000.0,,,,non-compliance with directions issued by RBI on ‘collection of third party account payee ,July 25, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,non-compliance with certain provisions of “Reserve Bank of India (Frauds classification and reporting ,July 31, 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
