Time-Stamp,Heading,Sub Heading
"Wednesday, September 29, 2010","ABB Ltd and Two Subsidiaries Resolve Foreign Corrupt Practices Act Investigation and Will Pay $19 Million in Criminal Penalties","Company to Pay More Than $58 Million in Criminal and Civil Penalties, Disgorgement and Interest"
"Wednesday, September 29, 2010","ABB Ltd and Two Subsidiaries Resolve Foreign Corrupt Practices Act Investigation and Will Pay $19 Million in Criminal Penalties","Company to Pay More Than $58 Million in Criminal and Civil Penalties, Disgorgement and Interest"
"Wednesday, September 30, 2009","AGCO Corp. to Pay $1.6 Million in Connection with Payments to the Former Iraqi Government Under the U.N. Oil-For-Food Program","Coordinated Enforcement Actions by DOJ, SEC and Danish Authorities Result in Penalties of More Than $20 Million"
"Thursday, March 7, 2019","Mobile Telesystems Pjsc and Its Uzbek Subsidiary Enter into Resolutions of $850 Million with the Department of Justice for Paying Bribes in Uzbekistan","Former General Director of MTS’s Uzbek Subsidiary and Former Uzbek Official Charged in Bribery and Money Laundering Scheme Totaling Almost $1 Billion"
"Monday, December 27, 2010","Alcatel-Lucent S.A. and Three Subsidiaries Agree to Pay $92 Million to Resolve Foreign Corrupt Practices Act Investigation","Coordinated Enforcement Actions by Department of Justice and SEC Result in Penalties of more than $137 Million"
"Monday, December 27, 2010","Alcatel-Lucent S.A. and Three Subsidiaries Agree to Pay $92 Million to Resolve Foreign Corrupt Practices Act Investigation","Coordinated Enforcement Actions by Department of Justice and SEC Result in Penalties of more than $137 Million"
"Thursday, March 7, 2019","Mozambique’s Former Finance Minister Indicted Alongside Other Former Mozambican Officials, Business Executives, and Investment Bankers in Alleged $2 Billion Fraud and Money Laundering Scheme that Victimized U.S. Investors","More Than $200 Million in Alleged Bribes and Kickbacks Paid to Mozambican Government Officials and Investment Bankers in Corrupt Maritime Loans for Mozambique "
"Monday, December 22, 2014","Alstom Pleads Guilty and Agrees to Pay $772 Million Criminal Penalty to Resolve Foreign Bribery Charges","Largest-ever foreign bribery resolution with the Department of Justice"
"Tuesday, January 19, 2010","Twenty-Two Executives and Employees of Military and Law Enforcement Products Companies Charged in Foreign Bribery Scheme","Defendants Arrested in Las Vegas and Miami; 21 Search Warrants Executed in United States and United Kingdom"
"Tuesday, January 19, 2010","Twenty-Two Executives and Employees of Military and Law Enforcement Products Companies Charged in Foreign Bribery Scheme","Defendants Arrested in Las Vegas and Miami; 21 Search Warrants Executed in United States and United Kingdom"
